sample	path	sex	tissue
female_NF.0	output/female_NF.0.kallisto	F	NF
female_NF.1	output/female_NF.1.kallisto	F	NF
female_NF.2	output/female_NF.2.kallisto	F	NF
female_NP.0	output/female_NP.0.kallisto	F	NP
female_NP.1	output/female_NP.1.kallisto	F	NP
female_NP.2	output/female_NP.2.kallisto	F	NP
female_PEP.0	output/female_PEP.0.kallisto	F	PEP
female_PEP.1	output/female_PEP.1.kallisto	F	PEP
female_PEP.2	output/female_PEP.2.kallisto	F	PEP
female_TH.0	output/female_TH.0.kallisto	F	TH
female_TH.1	output/female_TH.1.kallisto	F	TH
female_TH.2	output/female_TH.2.kallisto	F	TH
male_NF.0	output/male_NF.0.kallisto	M	NF
male_NF.1	output/male_NF.1.kallisto	M	NF
male_NF.2	output/male_NF.2.kallisto	M	NF
male_NP.0	output/male_NP.0.kallisto	M	NP
male_NP.1	output/male_NP.1.kallisto	M	NP
male_NP.2	output/male_NP.2.kallisto	M	NP
male_PEP.0	output/male_PEP.0.kallisto	M	PEP
male_PEP.1	output/male_PEP.1.kallisto	M	PEP
male_PEP.2	output/male_PEP.2.kallisto	M	PEP
male_TH.0	output/male_TH.0.kallisto	M	TH
male_TH.1	output/male_TH.1.kallisto	M	TH
male_TH.2	output/male_TH.2.kallisto	M	TH
