target_id	length	eff_length	est_counts	tpm
ENSMUST00000178537.2	12	2.81731	0	0
ENSMUST00000178862.2	14	2.86466	0	0
ENSMUST00000196221.2	9	2.70348	0	0
ENSMUST00000179664.2	11	2.78701	0	0
ENSMUST00000177564.2	16	2.90202	0	0
ENSMUST00000179520.2	11	2.78701	0	0
ENSMUST00000179883.2	16	2.90202	0	0
ENSMUST00000195858.2	10	2.74992	0	0
ENSMUST00000179932.2	12	2.81731	0	0
ENSMUST00000180001.2	17	2.91871	0	0
ENSMUST00000178815.2	10	2.74992	0	0
ENSMUST00000177965.2	17	2.91871	0	0
ENSMUST00000178909.2	29	3.1025	0	0
ENSMUST00000177646.2	10	2.74992	0	0
ENSMUST00000178230.2	17	2.91871	0	0
ENSMUST00000178483.2	29	3.1025	0	0
ENSMUST00000179262.2	10	2.74992	0	0
ENSMUST00000178549.2	17	2.91871	0	0
ENSMUST00000193012.2	29	3.1025	0	0
ENSMUST00000179166.2	10	2.74992	0	0
ENSMUST00000179560.2	17	2.91871	0	0
ENSMUST00000177839.2	17	2.91871	0	0
ENSMUST00000103439.2	23	3.01024	0	0
ENSMUST00000180266.2	17	2.91871	0	0
ENSMUST00000103441.2	23	3.01024	0	0
ENSMUST00000194399.2	366	187	0	0
ENSMUST00000103268.3	334	155	0	0
ENSMUST00000103269.3	385	206	0	0
ENSMUST00000103270.4	340	161	0	0
ENSMUST00000103271.2	340	161	0	0
ENSMUST00000103272.4	368	189	0	0
ENSMUST00000103273.3	370	191	0	0
ENSMUST00000103274.4	398	219	0	0
ENSMUST00000103275.4	374	195	0	0
ENSMUST00000103276.3	566	387	0	0
ENSMUST00000103277.2	335	156	0	0
ENSMUST00000195087.2	381	202	0	0
ENSMUST00000103278.3	290	111	0	0
ENSMUST00000193997.6	347	168	0	0
ENSMUST00000103279.3	344	165	0	0
ENSMUST00000193064.2	367	188	0	0
ENSMUST00000103280.3	344	165	0	0
ENSMUST00000103281.3	353	174	0	0
ENSMUST00000191646.6	335	156	0	0
ENSMUST00000103282.3	332	153	0	0
ENSMUST00000193003.2	416	237	0	0
ENSMUST00000103300.3	334	155	0	0
ENSMUST00000103567.6	371	192	0	0
ENSMUST00000185651.2	329	150	0	0
ENSMUST00000196939.2	423	244	0	0
ENSMUST00000103568.3	325	146	0	0
ENSMUST00000103569.3	385	206	0	0
ENSMUST00000103570.2	343	164	0	0
ENSMUST00000103571.2	338	159	0	0
ENSMUST00000198019.2	337	158	0	0
ENSMUST00000198058.2	341	162	0	0
ENSMUST00000103573.3	338	159	0	0
ENSMUST00000200127.2	337	158	0	0
ENSMUST00000181483.3	347	168	0	0
ENSMUST00000184883.2	308	129	0	0
ENSMUST00000179789.4	402	223	0	0
ENSMUST00000180717.3	378	199	0	0
ENSMUST00000183820.2	338	159	0	0
ENSMUST00000178768.4	451	272	0	0
ENSMUST00000103580.4	400	221	0	0
ENSMUST00000178426.4	337	158	0	0
ENSMUST00000180687.3	338	159	0	0
ENSMUST00000103646.5	406	227	0	0
ENSMUST00000197754.2	344	165	0	0
ENSMUST00000103648.4	342	163	0	0
ENSMUST00000197128.2	340	161	0	0
ENSMUST00000181360.3	436	257	0	0
ENSMUST00000183652.2	344	165	0	0
ENSMUST00000103588.4	396	217	0	0
ENSMUST00000181038.3	415	236	0	0
ENSMUST00000187138.2	340	161	0	0
ENSMUST00000103616.5	418	239	0	0
ENSMUST00000186370.2	349	170	0	0
ENSMUST00000199746.5	340	161	0	0
ENSMUST00000178824.2	337	158	0	0
ENSMUST00000103592.2	331	152	0	0
ENSMUST00000197007.2	454	275	0	0
ENSMUST00000103593.3	341	162	0	0
ENSMUST00000178252.3	575	396	0	0
ENSMUST00000177703.3	347	168	0	0
ENSMUST00000197954.2	331	152	0	0
ENSMUST00000103596.3	264	85.0011	0	0
ENSMUST00000196802.2	464	285	0	0
ENSMUST00000103597.3	276	97.0001	0	0
ENSMUST00000199800.2	398	219	0	0
ENSMUST00000196023.2	427	248	0	0
ENSMUST00000103599.3	276	97.0001	0	0
ENSMUST00000200548.2	565	386	0	0
