external_gene_name	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	description
Cav2	ENSMUST00000000058.7	0.000460169179983075	0.00360446039859267	2.68642408575701	0.766907575767795	4.08166542370294	4.55317997387675	0.0129229843358621	1.75151870497425	1.32321102872111	1.75151870497425	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
Cox5a	ENSMUST00000000090.8	0.00142175173650638	0.00901318249689023	-0.585896547907304	0.183655209569706	6.55023658714174	0.50122662289452	0.00410603244636444	0.0970816755599136	0.0952724140497283	0.0970816755599136	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
Ngfr	ENSMUST00000000122.7	3.98005550732183e-09	1.46834177621034e-07	-4.25998509103133	0.723869247333375	6.43958052412642	6.59026188258763	0.0366979103188122	1.53526215138615	0.106388075331926	1.53526215138615	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
Ccl2	ENSMUST00000000193.6	0.000123338698967133	0.00120606680473882	2.70853512283382	0.705459140627261	1.60955359633617	3.10647374952629	0.105889674913306	1.08197849105936	1.38712812237036	1.38712812237036	chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]
Th	ENSMUST00000000219.10	5.38573374770016e-18	1.19458201711183e-15	-5.6081841557776	0.648728255109006	4.97783051808848	9.07606888803207	0.38635229051848	0.876192756411846	0.570222510368928	0.876192756411846	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]
Hddc2	ENSMUST00000000304.14	2.89216018916348e-06	4.93282748243471e-05	0.839912911135441	0.179532504282801	6.56013927168171	0.141559973849705	0.00234845334692743	0.038935496503803	0.0943473069352346	0.0943473069352346	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]
Tpd52l1	ENSMUST00000000305.7	6.64232951651582e-05	0.000720397669924805	2.92020381235922	0.732110614178194	1.69200565997781	6.4906883309162	0.0830309286805424	1.52492692549657	1.42433924453087	1.52492692549657	tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]
Ckmt1	ENSMUST00000000317.13	1.37175602432491e-156	1.24747492852107e-152	-2.87556849294243	0.107860931418444	7.8752722284261	1.82342778644208	0.00120156095605489	0.00231973516541003	0.0337003806233081	0.0337003806233081	creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]
Hk2	ENSMUST00000000642.11	2.01747237399671e-09	8.28302201766414e-08	-4.58577336871308	0.764755183825527	2.44886626216689	5.20914252504676	0.1072631303081	0.841637970324293	1.64728834325595	1.64728834325595	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]
Rpa1	ENSMUST00000000767.6	2.83709347418406e-08	8.31608116617762e-07	-3.29737286101388	0.593992415059736	4.87066214398363	3.08455817873214	0.1700004029592	0.888480564486292	0.638833510555458	0.888480564486292	replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]
