external_gene_name	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	description
Cav2	ENSMUST00000000058.7	8.63513661904606e-17	3.86361291087847e-16	2.48152933408245	0.298182181808116	4.08166542370294	4.55317997387675	0.0129229843358621	-0.00353467801649727	0.12044593598591	0.12044593598591	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
Klf6	ENSMUST00000000080.8	2.36165991557424e-08	6.67815151499756e-08	0.431537656162953	0.0772925091877715	6.0191041745059	0.318457881110588	0.00330178834858864	-0.000839042090059018	0.00565940961622396	0.00565940961622396	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
Cox5a	ENSMUST00000000090.8	3.25671368263614e-32	3.15405263364143e-31	-0.760718926008818	0.0643846267393462	6.55023658714174	0.50122662289452	0.00410603244636444	-0.000509964451970717	0.00211203779418296	0.00211203779418296	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
Cntn1	ENSMUST00000000109.11	0.00123190965761536	0.00242095870909868	-3.67981840706265	1.1387736153889	2.80895821719288	11.6963012653889	1.15908441730098	0.786123603357874	0.183770412661179	0.786123603357874	contactin 1 [Source:MGI Symbol;Acc:MGI:105980]
Ngfr	ENSMUST00000000122.7	1.58135562398895e-190	1.69186447583005e-188	-7.01154211504328	0.238145464948255	6.43958052412642	6.59026188258763	0.0366979103188122	0.0483719833943183	0.0026035431848396	0.0483719833943183	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]
Wnt9a	ENSMUST00000000128.10	5.07915099818066e-05	0.000114331186082809	-1.53965734232311	0.379978916963975	2.71716336815159	0.684812517557372	0.0338223146054157	-0.00731076764191562	0.182753651400257	0.182753651400257	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
Actr2	ENSMUST00000000137.8	4.49389072300904e-06	1.0935895701109e-05	-0.200353044615176	0.0436772471997731	6.94679683267009	0.140829042040042	0.00187324433341977	-0.000770809846762722	0.000988308551005366	0.000988308551005366	ARP2 actin-related protein 2 [Source:MGI Symbol;Acc:MGI:1913963]
Gna12	ENSMUST00000000153.9	2.25506483752334e-07	6.00162705075717e-07	0.389368026592183	0.075211423080426	6.1628924106815	0.0899046352166148	0.00412933168888983	-0.00249446604566876	0.00435580555378444	0.00435580555378444	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
Sdhd	ENSMUST00000000175.6	1.08394437940232e-18	5.3953969273589e-18	-0.38599980180675	0.043733930259129	6.98804753964773	0.0816282204940442	0.00195602649432781	-0.00121689970971319	0.000912958489537723	0.000912958489537723	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]
Ccl2	ENSMUST00000000193.6	6.28860430437946e-28	5.01434173994097e-27	4.56508074160466	0.416712491650124	1.60955359633617	3.10647374952629	0.105889674913306	0.154584276132576	0.13824606073812	0.154584276132576	chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]
Nalcn	ENSMUST00000000201.7	7.03335892123539e-05	0.000156289226706694	-1.28791768004907	0.323991856989394	4.47334308657942	1.54683637671419	0.0794519330404004	0.00479040163077184	0.0780041520527536	0.0780041520527536	sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]
Th	ENSMUST00000000219.10	6.88560506701942e-44	1.06856130511049e-42	-7.39460544227734	0.532214831618117	4.97783051808848	9.07606888803207	0.38635229051848	-0.0664295623498821	0.0385266499729714	0.0385266499729714	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]
Gmpr	ENSMUST00000000260.13	4.59239436290099e-13	1.69047700207333e-12	-0.484174248098094	0.0669040428344137	6.19023799194305	0.149328715048232	0.00257190086140847	0.000630002859776528	0.00414232555997513	0.00414232555997513	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]
Scpep1	ENSMUST00000000287.9	9.15634642289456e-07	2.33603070191621e-06	1.53000338346624	0.31167605010006	4.17498795915095	0.858617680743497	0.035992656670519	0.000824803433756668	0.109720283638443	0.109720283638443	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]
Mnt	ENSMUST00000000291.9	0.00168737336099322	0.00326697324779058	-0.690253554501538	0.219800407999452	4.98015736274586	1.08812319486979	0.034090466648816	0.00536021366937769	0.0383778623862726	0.0383778623862726	max binding protein [Source:MGI Symbol;Acc:MGI:109150]
Hddc2	ENSMUST00000000304.14	1.50537801811122e-58	3.7455287815878e-57	0.875843537127758	0.0542902777221161	6.56013927168171	0.141559973849705	0.00234845334692743	-0.000302885645369151	0.00207269803578933	0.00207269803578933	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]
Tpd52l1	ENSMUST00000000305.7	3.89463292163115e-47	6.87724112413857e-46	5.60462134767896	0.388680154486262	1.69200565997781	6.4906883309162	0.0830309286805424	-0.0364691484654131	0.143577465056654	0.143577465056654	tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]
Cdh1	ENSMUST00000000312.12	1.70153756549657e-17	7.91295454902878e-17	1.30382214773775	0.153164751703246	5.1078360127745	6.33889659403492	0.00438929320401206	-0.000768339607960778	0.0307998685424635	0.0307998685424635	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]
Ckmt1	ENSMUST00000000317.13	0	0	-2.81839163042701	0.0303640760831481	7.8752722284261	1.82342778644208	0.00120156095605489	-0.000339035849197762	0.000181404718519928	0.000181404718519928	creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]
Rtca	ENSMUST00000000348.15	4.76185414039566e-07	1.24027786202945e-06	-0.42447960545226	0.0842945980820031	6.12051875008932	0.22035473089436	0.0059511717073812	-0.00330286565241516	0.00470719719132847	0.00470719719132847	RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]
Dbt	ENSMUST00000000349.11	1.23293603833608e-17	5.78999242583441e-17	-3.55949860933437	0.416324983559816	2.56604856441322	3.80461163331504	0.0794710385159733	0.0492584470782583	0.180518699388149	0.180518699388149	dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]
Dazap2	ENSMUST00000000356.10	2.05033448419124e-22	1.23850825634242e-21	-0.639324249169951	0.0656439986944614	6.43383379793514	0.203358338793607	0.0038318403568449	-0.00108074830046344	0.00263186149005278	0.00263186149005278	DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]
Trappc10	ENSMUST00000000384.8	3.46694232020117e-07	9.10698251297212e-07	-2.99858181543142	0.588405423900244	4.77166320407109	2.88534140243471	0.0830773085091524	0.436254105803686	0.053073454330657	0.436254105803686	trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]
Plin2	ENSMUST00000000466.13	2.70245144217231e-11	9.02371706080961e-11	-1.14941754990282	0.172535083479388	5.07082213953508	0.409183146085151	0.011776009559551	0.00120738414860039	0.0328765229873078	0.0328765229873078	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]
Pdgfb	ENSMUST00000000500.8	1.1336768950502e-24	7.67087625266854e-24	4.08032911882105	0.39791973655703	1.94417369544041	4.5327215830029	0.0791978277442595	0.0019745956022041	0.158312347368165	0.158312347368165	platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]
Acvr1b	ENSMUST00000000544.12	0.00142997508401172	0.00279059944506493	-0.810232250850448	0.254108291439094	4.57967725096541	0.579264432698642	0.0284216415633429	-0.01427704227513	0.0684348941038005	0.0684348941038005	activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]
C1d	ENSMUST00000000594.9	0.000325074837777816	0.000678890934608212	-1.44397053150011	0.401722003193673	4.73108274080797	1.31307882167983	0.185861571742192	-0.129555341204227	0.0562092800327139	0.0562092800327139	C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]
Clcn4	ENSMUST00000000619.8	4.5495609829717e-44	7.13339785847322e-43	0.581009662717361	0.0417282099968082	6.85041639560126	0.185637211365552	0.00142232876629	-0.000862519291545392	0.00118953649801659	0.00118953649801659	chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]
Sema4f	ENSMUST00000000641.15	3.27965360766253e-18	1.58771199936562e-17	-0.6995661314051	0.0803974448070609	5.97812327677915	0.288182280515693	0.00360247788996484	-0.000455572914139127	0.00609314580729177	0.00609314580729177	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]
Hk2	ENSMUST00000000642.11	2.0151494278303e-18	9.88711567126449e-18	-3.81934326789373	0.436175376814092	2.44886626216689	5.20914252504676	0.1072631303081	-0.00797020604572583	0.178110308700272	0.178110308700272	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]
Kat2b	ENSMUST00000000724.15	2.07307080148827e-05	4.80257441567555e-05	-1.06767923635939	0.250813101212492	4.46470656223905	0.592964069729551	0.0155322141592989	0.0256984813551921	0.0788286034504431	0.0788286034504431	K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]
Rab5b	ENSMUST00000000727.4	3.54859876893149e-16	1.53707821884558e-15	-0.521183355181381	0.0639249579549348	6.35325570459913	0.117761695093927	0.00306830342324556	-0.00127381834729962	0.00306129695106471	0.00306129695106471	RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]
Rpl13	ENSMUST00000000756.6	1.74510233705256e-09	5.2741643912117e-09	0.0924641238300647	0.0153597095442467	8.5357693107714	0.0161214941711615	0.000275094828150478	5.42512752915887e-07	7.87861877749576e-05	7.87861877749576e-05	ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]
Chmp1a	ENSMUST00000000759.9	1.64250349042606e-08	4.68109270416687e-08	-0.46574033698567	0.0824907238590616	6.11883705361284	0.228121269140952	0.00548540031350447	0.00165298772455289	0.00472167897068347	0.00472167897068347	charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]
